survey_year,country,industry,company_size,num_employees,annual_revenue_usd_millions,ai_adoption_rate,ai_maturity_score,years_using_ai,ai_budget_percentage,productivity_change_percent,task_automation_rate,time_saved_per_week,jobs_displaced,jobs_created,reskilled_employees,revenue_growth_percent,cost_reduction_percent,employee_satisfaction_score,customer_satisfaction
2023,Italy,Education,Startup,57,48.31,30.57,0.224,3,6.54,2.65,19.47,6.44,1,1,3,2.52,9.45,6.95,5.2
2023,Italy,Education,Startup,57,48.31,27.25,0.174,4,5.81,5.77,26.24,8.92,2,2,5,4.77,0.0,5.16,6.98
2023,Italy,Education,Startup,57,48.31,31.54,0.266,2,12.39,6.94,22.24,7.59,3,3,2,12.87,9.74,4.57,4.12
2023,Italy,Education,Startup,57,48.31,11.02,0.123,2,3.2,5.32,2.87,3.16,1,1,2,8.19,0.0,5.33,5.72
2024,Italy,Education,Startup,57,48.31,33.39,0.363,7,9.98,6.32,18.44,7.03,2,3,6,11.3,9.02,6.0,6.31
2024,Italy,Education,Startup,57,48.31,34.15,0.372,4,9.89,17.83,27.94,6.13,4,2,3,9.57,1.9,5.23,5.12
2024,Italy,Education,Startup,57,48.31,41.35,0.307,5,6.75,12.33,33.02,10.62,5,3,6,11.29,5.15,6.01,6.17
2024,Italy,Education,Startup,57,48.31,57.42,0.459,6,13.06,5.72,19.24,6.98,2,4,5,10.72,3.95,5.6,3.55
2025,Italy,Education,Startup,57,48.31,17.57,0.191,7,3.54,0.82,18.57,8.38,4,1,3,-1.34,4.6,4.62,3.61
2025,Italy,Education,Startup,57,48.31,52.95,0.427,8,11.44,12.31,21.52,4.73,3,4,5,11.45,5.83,6.08,5.71
2025,Italy,Education,Startup,57,48.31,35.7,0.34,5,6.85,3.53,9.32,1.1,2,2,4,4.3,2.1,5.93,4.24
2025,Italy,Education,Startup,57,48.31,45.23,0.417,7,13.16,6.47,19.61,7.12,2,3,6,-2.08,2.88,6.0,5.22
2026,Italy,Education,Startup,57,48.31,52.61,0.453,7,9.63,15.46,46.9,13.25,7,4,4,3.51,12.03,7.36,7.19
2026,Italy,Education,Startup,57,48.31,45.37,0.388,6,7.24,11.81,21.56,5.22,2,3,4,4.31,9.75,4.74,5.22
